Year,Date,Site,DayNight,TideZone,Predator,PredSize,EstimatedPredSize,PossibleChaemoPred,Prey,PreySize,EstimatedPreySize,Drilling
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,40,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,16,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,21,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,20,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,25,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,23,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,25,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,38,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,FALSE,FALSE,UNID,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,20,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,25,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,20,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,27,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,19,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,33,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,17,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,17,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,30,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,16,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,27,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,18,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,18,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,24,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,13,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,16,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,18,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,29,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,21,FALSE,FALSE,Risellopsis varia,4,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Paratrophon patens,16,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Paratrophon patens,18,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum scobina,6,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,16,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,18,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,13,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,17,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,14,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,19,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,14,TRUE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,20,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,19,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2004,7/1/04,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
